;P234_01_N_Scr_1.CEL;P234_02_N_Inh_3.CEL;P234_03_6F4_Scr_1.CEL;P234_04_6F4_Scr_3.CEL;P234_05_6F4_Inh_2.CEL;P234_06_6F4_Inh_3.CEL
ERCCmix2step34;10,6977942034127;10,8035495901307;8,32806882549651;7,01436102462302;6,32843618287085;5,33665025931112
ERCCmix2step35;11,573138867868;11,614975581893;9,74916759287345;7,53780094768787;8,35958084641324;6,86939878269825
ERCCmix2step36;12,5386321660842;12,5857078407363;11,7594045819305;10,4128833940157;10,2024232762192;9,98509813819402
ERCCmix2step38;12,7800171157371;12,8026258691748;11,7682773546164;9,7632234672011;10,3204242892134;9,7317948485444
ERCCmix2step39;12,8939373728377;12,8645057885421;11,8135720030864;9,84758248300456;10,5659998298608;9,910188243189
ERCCmix2step4;4,97046773267965;4,82097310037224;5,71388229464141;6,30594563575429;6,27934081244465;6,92673064484188
ERCCmix2step40;13,6228705092086;13,6522439808862;12,8667235767957;10,8911443433493;11,724314757697;11,0205229939423
ERCCmix2step42;13,557580535997;13,53050705804;12,2782759628273;10,2314047007232;11,0060344853499;10,3131749989795
ERCCmix2step43;12,9073746371969;12,9670764675803;12,7062907839284;11,1881926968617;11,3956737925534;11,1100957392203
ERCCmix2step44;13,7743617721359;13,8311790406212;12,7554483773772;10,7056745085829;11,6162746336346;10,8049298921141
ERCCmix2step6;4,47066525319314;4,5009392584381;5,30716696325011;6,41330282739524;5,38437024257584;6,05482690134065
ERCCmix2step7;4,74572656624761;4,88785596620766;5,48534493555906;6,70872287557214;5,58004909576043;6,96856242929292
ERCCmix2step8;4,52316463908818;4,53217637664698;4,94114649392743;5,54291711844093;4,62835360012651;5,03611415283288
ERCCmix2step9;4,8191669770566;4,89959310750471;5,6226473302141;6,61231490383112;6,03803892890928;6,80384282826583
MG-1-neg-10338068_st;5,28996911004632;4,77261159575775;5,79321849763917;5,93027320039434;6,00279406298642;5,88117379569261
MG-1-neg-10338069_st;2,30987170487339;3,24698909859741;1,94897540854716;2,46394334062912;1,47039739547436;2,24330568711805
MG-1-neg-10338070_st;2,55487556108961;1,53410873943803;2,1352668010534;2,2478445557263;3,33639481916284;2,39903548632075
MG-1-neg-10338071_st;1,64314396887253;2,07406351956518;2,65834362751393;3,5441065445483;3,29603962654265;3,68846825216986
MG-1-neg-10338072_st;3,04846170517366;3,45291948908613;3,81153982358791;5,14556660143435;5,23215714478832;3,47721253600456
MG-1-neg-10338073_st;4,42689015327919;3,19748490172947;4,65312534494167;4,65084860703987;3,82929197120398;5,23997178462394
MG-1-neg-10338078_st;3,78691114441292;3,57402444500891;4,81466241972245;3,07220003648284;3,50054870441685;3,89960710298931
MG-1-neg-10338079_st;3,4700527493846;2,9860112446126;3,71013198355425;3,91684712414797;4,39895852556587;4,5894666731464
MG-1-neg-10338080_st;3,93989605424588;4,57645620019237;5,97162940921213;5,40487047775548;6,09028222498962;6,15047949362613
MG-1-neg-10338081_st;5,23167042634652;4,98958157481822;5,38047780442896;5,15140919351449;5,66033191841889;5,36910474529736
MG-1-neg-10338082_st;3,71060687245055;3,51441365182723;4,13212261523118;3,61328748906634;3,33243429734056;5,05328509376449
MG-1-neg-10338083_st;2,04027264852245;2,10925050536056;2,35024161981751;2,11303750674953;1,79521322805749;2,19321440344768
MG-1-neg-10338084_st;2,92581595809491;4,02687598782686;4,12383547539524;3,25874483656819;4,89080209950429;4,83242980772189
MG-1-neg-10338086_st;4,38203583374873;4,17292035999466;6,07719540077551;5,60107524406631;4,82788403527766;4,30794372366513
MG-1-neg-10338087_st;2,03328942369635;1,92982963619484;2,91505779870442;4,16029716319123;2,17529113535917;2,67167864199688
MG-1-neg-10338088_st;2,37625917042653;2,09906197950984;1,85587249835037;3,896124300772;2,8290037523604;1,84316868529884
MG-1-neg-10338089_st;3,797627613483;4,02844349874165;3,84015105597343;5,32103687915457;4,40484366179917;3,80935802725155
MG-1-neg-10338090_st;3,22235678549042;3,09299596806594;4,66999225052215;5,60536794115091;4,6461915959668;4,84457699481801
MG-1-neg-10338091_st;4,16018079202741;4,37581477629796;4,73316018383496;4,51781076553534;4,68759950705739;4,93388072219694
MG-1-neg-10338092_st;5,84114165144355;6,18471606576322;5,97392580195617;6,28538791169324;5,68126862397986;6,91331802285813
MG-1-neg-10338093_st;4,16976028556995;4,72055535576657;5,05700812414103;4,47002361108373;5,13125831293041;5,03994344967821
MG-1-neg-10338094_st;6,18786644103348;6,13369898008363;6,49384786245269;5,73141623301055;6,85384909553486;7,49591396389821
MG-1-neg-10338096_st;4,15306475459577;4,93037007284513;4,64538314548865;6,10697739123644;5,21984324600078;4,03979260454268
MG-1-neg-10338098_st;5,46072541323391;5,27294282110118;4,85690000336579;6,84803527710711;6,26608092951114;6,69058550358228
MG-1-neg-10338099_st;3,63604314181839;3,20569968744847;2,77666354477365;2,88377096204644;3,07493759224913;2,75719565827917
MG-1-neg-10338100_st;1,48906959224005;1,57556986313523;1,81723304334411;1,44117526784541;1,39622111728528;1,86302659737546
MG-1-neg-10338101_st;3,87537547035175;2,83193955010177;4,63742425679107;2,12168992211652;4,34035084872844;3,64625144918927
MG-1-neg-10338102_st;1,35412187620277;1,87748018224276;2,00007415711499;3,37517658554975;3,72350165039099;3,43908091188458
